Origin 3-Digit   Destination 3-Digit   Changed From   Changed To   
043              995                   8              A            
043              996                   8              A            
043              997                   8              A            
043              998                   8              A            
043              999                   8              A            
044              006                   8              A            
044              007                   8              A            
044              008                   8              A            
044              009                   8              A            
044              967                   8              A            
044              968                   8              A            
044              995                   8              A            
044              996                   8              A            
044              997                   8              A            
044              998                   8              A            
044              999                   8              A            
045              006                   7              A            
045              007                   7              A            
045              008                   7              A            
045              009                   7              A            
045              967                   8              A            
045              968                   8              A            
045              995                   8              A            
045              996                   8              A            
045              997                   8              A            
045              998                   8              A            
045              999                   8              A            
046              006                   8              A            
046              007                   8              A            
046              008                   8              A            
046              009                   8              A            
046              967                   8              A            
046              968                   8              A            
046              995                   8              A            
046              996                   8              A            
046              997                   8              A            
046              998                   8              A            
046              999                   8              A            
047              006                   8              A            
047              007                   8              A            
047              008                   8              A            
047              009                   8              A            
047              967                   8              A            
047              968                   8              A            
047              995                   8              A            
047              996                   8              A            
047              997                   8              A            
047              998                   8              A            
047              999                   8              A            
048              006                   7              A            
048              007                   7              A            
048              008                   7              A            
048              009                   7              A            
048              967                   8              A            
048              968                   8              A            
048              995                   8              A            
048              996                   8              A            
048              997                   8              A            
048              998                   8              A            
048              999                   8              A            
049              006                   8              A            
049              007                   8              A            
049              008                   8              A            
049              009                   8              A            
049              967                   8              A            
049              968                   8              A            
049              995                   8              A            
049              996                   8              A            
049              997                   8              A            
049              998                   8              A            
049              999                   8              A            
050              006                   7              A            
050              007                   7              A            
050              008                   7              A            
050              009                   7              A            
050              967                   8              A            
050              968                   8              A            
050              995                   8              A            
050              996                   8              A            
050              997                   8              A            
050              998                   8              A            
050              999                   8              A            
051              006                   7              A            
051              007                   7              A            
051              008                   7              A            
051              009                   7              A            
051              967                   8              A            
051              968                   8              A            
051              995                   8              A            
051              996                   8              A            
051              997                   8              A            
051              998                   8              A            
051              999                   8              A            
052              006                   7              A            
052              007                   7              A            
052              008                   7              A            
052              009                   7              A            
052              967                   8              A            
052              968                   8              A            
052              995                   8              A            
052              996                   8              A            
052              997                   8              A            
052              998                   8              A            
052              999                   8              A            
053              006                   7              A            
053              007                   7              A            
053              008                   7              A            
053              009                   7              A            
053              967                   8              A            
053              968                   8              A            
053              995                   8              A            
053              996                   8              A            
053              997                   8              A            
053              998                   8              A            
053              999                   8              A            
054              006                   8              A            
054              007                   8              A            
054              008                   8              A            
054              009                   8              A            
054              967                   8              A            
054              968                   8              A            
054              995                   8              A            
054              996                   8              A            
054              997                   8              A            
054              998                   8              A            
054              999                   8              A            
055              006                   7              A            
055              007                   7              A            
055              008                   7              A            
055              009                   7              A            
055              967                   8              A            
055              968                   8              A            
055              995                   8              A            
055              996                   8              A            
055              997                   8              A            
055              998                   8              A            
055              999                   8              A            
056              006                   8              A            
056              007                   8              A            
056              008                   8              A            
056              009                   8              A            
056              967                   8              A            
056              968                   8              A            
056              995                   8              A            
056              996                   8              A            
056              997                   8              A            
056              998                   8              A            
056              999                   8              A            
057              006                   7              A            
057              007                   7              A            
057              008                   7              A            
057              009                   7              A            
057              967                   8              A            
057              968                   8              A            
057              995                   8              A            
057              996                   8              A            
057              997                   8              A            
057              998                   8              A            
057              999                   8              A            
058              006                   8              A            
058              007                   8              A            
058              008                   8              A            
058              009                   8              A            
058              967                   8              A            
058              968                   8              A            
058              995                   8              A            
058              996                   8              A            
058              997                   8              A            
058              998                   8              A            
058              999                   8              A            
059              006                   8              A            
059              007                   8              A            
059              008                   8              A            
059              009                   8              A            
059              967                   8              A            
059              968                   8              A            
059              995                   8              A            
059              996                   8              A            
059              997                   8              A            
059              998                   8              A            
059              999                   8              A            
060              006                   7              A            
060              007                   7              A            
060              008                   7              A            
060              009                   7              A            
060              967                   8              A            
060              968                   8              A            
060              995                   8              A            
060              996                   8              A            
060              997                   8              A            
060              998                   8              A            
060              999                   8              A            
061              006                   7              A            
061              007                   7              A            
061              008                   7              A            
061              009                   7              A            
061              967                   8              A            
061              968                   8              A            
061              995                   8              A            
061              996                   8              A            
061              997                   8              A            
061              998                   8              A            
061              999                   8              A            
062              006                   7              A            
062              007                   7              A            
062              008                   7              A            
062              009                   7              A            
062              967                   8              A            
062              968                   8              A            
062              995                   8              A            
062              996                   8              A            
062              997                   8              A            
062              998                   8              A            
062              999                   8              A            
063              006                   7              A            
063              007                   7              A            
063              008                   7              A            
063              009                   7              A            
063              967                   8              A            
063              968                   8              A            
063              995                   8              A            
063              996                   8              A            
063              997                   8              A            
063              998                   8              A            
063              999                   8              A            
064              006                   7              A            
064              007                   7              A            
064              008                   7              A            
064              009                   7              A            
064              967                   8              A            
064              968                   8              A            
064              995                   8              A            
064              996                   8              A            
064              997                   8              A            
064              998                   8              A            
064              999                   8              A            
065              006                   7              A            
065              007                   7              A            
065              008                   7              A            
065              009                   7              A            
065              967                   8              A            
065              968                   8              A            
065              995                   8              A            
065              996                   8              A            
